Country name,Ladder score,log_GDP,Social_Support,Life_expectancy,Freedom,Generosity,Corruption,cluster,happiness_resid
Russia,5.785,1.642,1.351,0.531,0.551,0.138,0.121,0,-0.30793816087637715
Bolivia,5.784,1.217,1.179,0.488,0.719,0.1,0.061,0,0.5986444258238812
Ecuador,5.725,1.315,1.151,0.64,0.606,0.087,0.078,0,0.33036655877299825
Kyrgyzstan,5.714,1.054,1.477,0.588,0.834,0.225,0.03,0,0.8767290414289235
Montenegro,5.707,1.571,1.318,0.587,0.632,0.11,0.132,0,-0.23431848168645253
Mongolia,5.696,1.353,1.511,0.4,0.501,0.237,0.055,0,0.22021799807979825
Colombia,5.695,1.437,1.241,0.648,0.644,0.072,0.059,0,0.039836969179042114
Venezuela,5.607,0.0,1.321,0.491,0.518,0.192,0.086,1,3.0205338564455673
Indonesia,5.568,1.361,1.184,0.472,0.779,0.399,0.055,0,0.07513409056543985
Bulgaria,5.463,1.629,1.469,0.567,0.62,0.083,0.006,0,-0.6021768111655463
Armenia,5.455,1.444,1.154,0.603,0.65,0.051,0.173,0,-0.21511144989602116
South Africa,5.422,1.389,1.369,0.322,0.537,0.078,0.034,0,-0.1306595857348123
North Macedonia,5.369,1.475,1.277,0.569,0.58,0.194,0.015,0,-0.3673115915141594
Algeria,5.364,1.324,1.191,0.568,0.247,0.091,0.2,0,-0.04985283718065414
Hong Kong S.A.R. of China,5.316,1.909,1.184,0.857,0.485,0.147,0.402,2,-1.3471135741680706
Albania,5.304,1.438,0.924,0.638,0.69,0.138,0.049,0,-0.35329851926025313
Congo (Brazzaville),5.221,0.892,0.622,0.306,0.523,0.124,0.138,1,0.7296781685946687
Mozambique,5.216,0.56,0.883,0.156,0.728,0.158,0.196,1,1.433660330440519
Georgia,5.185,1.467,0.99,0.524,0.68,0.0,0.174,0,-0.5342276839998013
Iraq,5.166,1.249,0.996,0.498,0.425,0.141,0.048,1,-0.08769120423354959
Nepal,5.158,0.965,0.99,0.443,0.653,0.209,0.115,1,0.5107875125261545
Laos,5.139,1.208,0.846,0.423,0.796,0.17,0.167,1,-0.027136178222465723
Gabon,5.106,1.403,1.038,0.344,0.516,0.045,0.1,1,-0.47655642388493824
Ivory Coast,5.08,1.08,0.578,0.288,0.547,0.12,0.164,1,0.1872063420072596
Guinea,5.023,0.831,0.622,0.236,0.521,0.21,0.107,1,0.6619429633916472
Turkiye,4.975,1.702,1.175,0.631,0.202,0.068,0.115,0,-1.2460674672340621
Senegal,4.969,0.927,0.751,0.392,0.607,0.152,0.069,1,0.40293607321935365
Iran,4.923,1.435,1.136,0.571,0.366,0.235,0.123,0,-0.7278920539423694
Azerbaijan,4.893,1.433,0.876,0.496,0.668,0.112,0.199,0,-0.7536210770637801
Nigeria,4.881,1.042,1.075,0.256,0.566,0.201,0.019,1,0.06935490270045896
Cameroon,4.874,0.943,0.856,0.288,0.521,0.126,0.06,1,0.2737682581906373
Ukraine,4.873,1.35,1.315,0.513,0.631,0.285,0.025,0,-0.5963755366023173
Namibia,4.832,1.266,1.212,0.307,0.47,0.069,0.061,1,-0.45799450770156014
Morocco,4.795,1.213,0.471,0.495,0.631,0.042,0.082,1,-0.3818136204189395
Pakistan,4.657,1.069,0.6,0.321,0.542,0.144,0.074,1,-0.21230328516049823
Niger,4.556,0.573,0.677,0.293,0.615,0.145,0.147,1,0.7458989807296872
Burkina Faso,4.548,0.756,0.685,0.274,0.483,0.173,0.179,1,0.34710459633875157
Mauritania,4.505,1.078,0.705,0.4,0.343,0.133,0.198,1,-0.383522681114151
Gambia,4.485,0.75,0.684,0.33,0.459,0.324,0.048,1,0.29691752697452056
Chad,4.471,0.603,0.805,0.199,0.411,0.218,0.113,1,0.5968343275508454
Kenya,4.47,1.037,0.895,0.353,0.519,0.282,0.069,1,-0.33096765510306714
Tunisia,4.422,1.306,0.955,0.579,0.254,0.024,0.018,1,-0.953414045273349
Benin,4.377,0.914,0.128,0.284,0.567,0.112,0.252,1,-0.161302577069816
Uganda,4.372,0.772,1.151,0.373,0.587,0.178,0.054,1,0.13693678131003573
Myanmar,4.354,0.978,0.988,0.436,0.45,0.401,0.174,1,-0.3209738371846784
Cambodia,4.341,1.011,1.019,0.442,0.863,0.17,0.071,0,-0.40444495568140315
Ghana,4.289,1.077,0.747,0.36,0.623,0.183,0.028,1,-0.5973871926748568
Liberia,4.269,0.619,0.673,0.301,0.546,0.178,0.075,1,0.3606665125221298
Mali,4.232,0.747,0.688,0.267,0.586,0.12,0.09,1,0.05032399229240436
Madagascar,4.228,0.628,0.823,0.333,0.25,0.172,0.123,1,0.3004471165684768
Togo,4.214,0.758,0.586,0.32,0.453,0.127,0.156,1,0.008833619460162367
Jordan,4.186,1.262,0.983,0.594,0.593,0.059,0.189,0,-1.0954525539443818
India,4.054,1.166,0.653,0.417,0.767,0.174,0.122,1,-1.0224456637720865
Egypt,3.977,1.37,0.996,0.488,0.49,0.025,0.259,0,-1.5350853053882116
Sri Lanka,3.898,1.361,1.179,0.586,0.583,0.144,0.031,0,-1.5948659094345596
Bangladesh,3.886,1.122,0.249,0.513,0.775,0.14,0.167,1,-1.0964841724431187
Ethiopia,3.861,0.792,0.915,0.42,0.441,0.27,0.101,1,-0.4167729874758579
Tanzania,3.781,0.82,0.706,0.38,0.709,0.191,0.257,1,-0.5565666637761102
Comoros,3.566,0.896,0.328,0.37,0.172,0.128,0.16,1,-0.9338637851625107
Yemen,3.561,0.671,1.281,0.293,0.362,0.08,0.113,1,-0.4583788863211966
Zambia,3.502,0.899,0.809,0.264,0.727,0.168,0.109,1,-1.0042702504803946
Eswatini,3.502,1.255,0.925,0.176,0.284,0.059,0.116,1,-1.764504134869318
Malawi,3.421,0.617,0.41,0.349,0.571,0.135,0.136,1,-0.48306251059928096
Botswana,3.383,1.445,0.969,0.241,0.567,0.014,0.082,1,-2.2892469383353165
Zimbabwe,3.341,0.748,0.85,0.232,0.487,0.096,0.131,1,-0.84281149614689
Congo (Kinshasa),3.295,0.534,0.665,0.262,0.473,0.189,0.072,1,-0.4318169701378185
Sierra Leone,3.245,0.654,0.566,0.253,0.469,0.181,0.053,1,-0.7380755828531855
Lesotho,3.186,0.771,0.851,0.0,0.523,0.082,0.085,1,-1.046927730250669
Lebanon,2.707,1.377,0.577,0.556,0.173,0.068,0.029,1,-2.8200337244632747
Afghanistan,1.721,0.628,0.0,0.242,0.0,0.091,0.088,1,-2.206552883431523
