Country name,Ladder score,log_GDP,Social_Support,Life_expectancy,Freedom,Generosity,Corruption,log_GDP_std,Social_Support_std,Life_expectancy_std,Freedom_std,Generosity_std,Corruption_std
Finland,7.741,1.844,1.572,0.695,0.859,0.142,0.546,1.0982475892701942,1.3177929559678623,1.0595245919579213,1.4722865503147395,-0.058369966862756084,3.115425722466078
Denmark,7.583,1.908,1.52,0.699,0.823,0.204,0.548,1.2493415810072759,1.1612251993427678,1.0838654916747097,1.2499414146186292,0.7888730304093514,3.1313256769397766
Iceland,7.525,1.881,1.617,0.718,0.819,0.258,0.182,1.1855988032431946,1.4532842838165014,1.1994847653294551,1.2252363995412836,1.5267943506140906,0.22163400825301405
Sweden,7.344,1.878,1.501,0.724,0.838,0.221,0.524,1.1785162723805185,1.1040177498066752,1.235996114904638,1.3425852211586753,1.0211815941775102,2.9405262232553984
Israel,7.341,1.803,1.513,0.74,0.641,0.153,0.193,1.0014530008136258,1.1401487705663125,1.3333597137717919,0.12586322859940552,0.09194733910487603,0.30908375785835396
Netherlands,7.319,1.901,1.462,0.706,0.725,0.247,0.372,1.2328156756610327,0.9865919323378546,1.1264620661790896,0.6446685452236626,1.3764770446464585,1.7321296832543385
Norway,7.302,1.952,1.517,0.704,0.835,0.224,0.484,1.3532187003265197,1.1521924441528582,1.1142916163206953,1.324056459850666,1.0621772230777735,2.622527133781435
Luxembourg,7.122,2.141,1.355,0.708,0.801,0.146,0.432,1.79941814467509,0.6644236638977565,1.1386325160374837,1.114063831693229,-0.0037091283290716804,2.2091283174652827
Switzerland,7.06,1.97,1.425,0.747,0.759,0.173,0.498,1.3957138855025741,0.8751879516623069,1.3759562882761718,0.8546611733811001,0.36525153177329767,2.7338268150973226
Australia,7.057,1.854,1.461,0.692,0.756,0.225,0.323,1.1218560254791132,0.9835810139412186,1.0412689171703298,0.836132412073091,1.0758424327111946,1.342580798648734
New Zealand,7.029,1.81,1.527,0.673,0.746,0.226,0.48,1.0179789061598692,1.1823016281192225,0.9256496435155851,0.7743698743797269,1.0895076423446157,2.5907272248340387
Costa Rica,6.955,1.561,1.373,0.661,0.797,0.109,0.123,0.4301288445577844,0.7186201950372124,0.8526269443652196,1.0893588166158834,-0.5093218847656519,-0.24741464872108143
Kuwait,6.951,1.845,1.364,0.661,0.827,0.2,0.172,1.100608432891086,0.6915219294674848,0.8526269443652196,1.2746464296959747,0.7342121918756674,0.1421342358845232
Austria,6.905,1.885,1.336,0.696,0.703,0.214,0.305,1.1950421777267621,0.6072162143616646,1.0656098168871182,0.5087909622982617,0.9255251267435625,1.1994812083854505
Canada,6.9,1.84,1.459,0.701,0.73,0.23,0.368,1.0888042147866266,0.9775591771479456,1.096035941533104,0.6755498140703445,1.1441684808783001,1.7003297743069423
Belgium,6.894,1.868,1.44,0.69,0.729,0.17,0.311,1.1549078361715999,0.9203517276118531,1.0290984673119354,0.6693735603010081,0.32425590287303474,1.2471810718065448
Ireland,6.838,2.129,1.39,0.7,0.758,0.205,0.418,1.7710880212243871,0.7698058077800314,1.0899507166039069,0.8484849196117638,0.8025382400427725,2.0978286361493956
Czechia,6.822,1.783,1.511,0.638,0.787,0.177,0.068,0.9542361283957875,1.1341269337730395,0.7126667709936857,1.0275962789225195,0.4199123703069821,-0.6846633967477805
